Song,Mood,Time,Activity,Energy,Tempo,Recommendation_Label
Kal Ho Naa Ho,Calm,Evening,Workout,0.96,97,1
Tere Vaaste - Zara Hatke Zara Bachke,Calm,Evening,Workout,0.56,86,2
Timi Nai Hau,Calm,Morning,Studying,0.51,99,3
Yo Mann Ta Mero Nepali Ho,Sad,Morning,Relaxing,0.46,112,4
Kesariya - Brahmastra,Energetic,Afternoon,Chilling,0.85,110,5
Shayad,Energetic,Evening,Workout,0.68,101,6
Unholy - Sam Smith,Energetic,Evening,Chilling,0.43,90,7
Tere Vaaste - Zara Hatke Zara Bachke,Energetic,Morning,Relaxing,0.51,124,8
Jhoome Jo Pathaan - Pathaan,Sad,Morning,Workout,0.93,110,9
Farki Farki - Rohit John Chhetri,Happy,Afternoon,Workout,0.88,65,10
Yo Mann Ta Mero Nepali Ho,Happy,Night,Relaxing,0.38,81,11
Farki Farki - Rohit John Chhetri,Sad,Afternoon,Chilling,0.34,72,12
Senorita,Sad,Morning,Studying,0.47,118,13
Anti-Hero - Taylor Swift,Energetic,Evening,Chilling,0.72,128,14
Farki Farki - Rohit John Chhetri,Happy,Morning,Studying,0.71,78,15
Heeriye - Jasleen Royal,Energetic,Morning,Chilling,0.45,114,16
Teenpatey - Tribal Rain,Energetic,Afternoon,Studying,0.78,123,17
Perfect,Sad,Afternoon,Chilling,0.92,76,18
Kal Ho Naa Ho,Happy,Afternoon,Studying,0.74,117,19
Apna Bana Le - Bhediya,Energetic,Morning,Chilling,0.34,77,20
Calm Down - Rema,Sad,Night,Studying,0.78,67,21
Farki Farki - Rohit John Chhetri,Energetic,Afternoon,Workout,0.88,127,22
Sa Karnali,Sad,Evening,Workout,0.66,61,23
Yo Mann Ta Mero Nepali Ho,Happy,Afternoon,Relaxing,0.69,76,24
Bekhayali,Calm,Morning,Chilling,0.64,88,25
Saili,Sad,Morning,Studying,0.76,121,26
Kal Ho Naa Ho,Energetic,Morning,Workout,0.62,120,27
Je Chhau Timi - Sushant KC,Energetic,Evening,Relaxing,0.75,62,28
Tera Ban Jaunga,Sad,Night,Chilling,0.6,125,29
Shape of You,Energetic,Night,Workout,0.39,114,30
Sannani - VTEN,Happy,Afternoon,Studying,0.42,67,31
Timi Nai Hau,Calm,Afternoon,Studying,0.35,86,32
Yo Mann Ta Mero Nepali Ho,Happy,Afternoon,Workout,0.46,97,33
Sa Karnali,Calm,Afternoon,Chilling,0.74,98,34
Saili,Sad,Night,Studying,0.34,130,35
